Dagaare,English
difudeɛ,cheap  simple  Akan 
diganaa,bedroom
digaŋene,gluttony
digaŋgaŋ,craftiness
digi,   to chase  to run after
digi, to drive away
digoo,a disease affecting bean plants
digbogbo,gluttonous  eating too much
dii,   to press down e.g. with a heavier object 
dii,  to pile up
dii,to store grain in ashes
diibu,food
di kannyiri,to be patient
dikpaare,back of a room
dikpeɛraa,living room
dilɔɔraa,a room thatched with wood and earth
di naaloŋ,to ascend to the throne
di naŋe,to be scarce
dindigili,electric fish
dindigiri,catfish
dipanaa,plastered room
dire,to be sharp
diruŋ,   food 
diruŋ,  feast
di sane,to owe  to be indebted to
di sɛrɛɛ,to judge
disogɔ,middle room
di suuri,to forgive
diteenɛ,mediator  spokesman in a marriage agreement
di vi,to be ashamed
divuo,abandoned room  room without a roof
do,to roll along the ground  circular object 
do,   to climb up  to ascend
do,  to soar   
do,to mate  to crossbreed  nonhuman    
do,to climb out of the ground into a new nest  trapped termites 
dõo,hazy  misty
dobaa,pig  domesticated 
dobapɔle,young pig
dobasugo,herd of swine
dodoo,large and bloated
doge,large pot
doge,   to boil  to cook 
doge,  to brew   
doge, to become very hot
dogebile,small pot
dogele,to put over a fire
dogi,to remove an object from the top of something
dogo,a type of dance
dogodogo,power of charm in magic
dole,to be unaware
donforoŋ,large big and puffed
donkyeenɛ,shepherd
donnyaŋaa,adult female animal
donnyaŋaa,wild female boar
donsaana,strange animal
donseɛ,the waist of an animal
donsɔgelaa,   black animal  
donsɔgelaa,  an animal believed to have spiritual powers
donsugo,large herds of animals
doŋa,   animal 
doŋa,  mosquito
doŋe,to bite    
doŋe,to sting
doŋe,to be at close range
doŋenokono,   a type of tree whose leaves are edible
doŋenokono,  the leaves of this tree
doŋguolaa,an animal that has been raised
doŋguolo,animals that are shared between an original owner and a caretaker who raises them
doŋi,a Muslim religious festival
doŋkaraa,a strong-smelling plant used for chasing away mosquitoes
doŋkommiruu,a type of tiny mosquito  bites only during day 
doŋkɔɔseɛ,wasp  a stinging flying insect that resembles a bee but longer
doŋkuuree,a type of short
doogɔ,plenty of enjoyment  
doogɔ,food and drink 
doore,to continuously heave loads or chunks of matter
doɔ,to raise one’s head
doɔ,to cause to become worse  behavior 
doɔ,to ooze  to overflow
doɔ,to fetch water with a large container
doɔ,   dawadawa tree  
doɔ,fruit of the dawadawa tree  edible 
doɔbo,the act of weeding
doɔkpangyogele,a large catepillar found on the leaves of the dawadawa tree
doɔle,xylophone mallet
doɔle,to walk carefully and majestically
doɔloŋ,mudfish  lives in the mud during dry season 
doɔnyeraa,a type of small ant
doɔre,yellow
dopɔge,female bush pig
dopɔle,young bush pig
dore,thud  sound of an impact
doreba,driver
doree,large and solid
dori,remove bits of the top
dori,heap
dori,joint  stalk of grass 
dosoraa,young female bush pig
dɔ,to spill over e.g. boiling water from yam being cooked over fire
dɔ,to pay the last bride price
dɔ,to weed
dɔdɔgeroŋ,wretchedness
dɔɛ,last bride price
dɔge,   to bear  child 
dɔgele,   to place on top of something
dɔgele,  to exceed
dɔgere,to punish
dɔgeroŋ,descent
dɔgeroŋ,penalty
dɔgerɔ,relative  blood 
dɔgerɔlenne,ear of maize with multicoloured kernels
dɔgɛɛ,suffering
dɔkele,kernels from dawdaw fruit
dɔkone,kenkey  thick corn paste shaped into balls and boiled in leaves 
dɔle,pop out smoothly e.g. from something slippery
dɔlle,to stretch
dɔlɔ,way of doing something
dɔlɔdɔlɔ,slimy and slippery
dɔndɔŋ-karaa,chief enemy
dɔndɔre,curd  coagulated milk
dɔndɔre,shade caused by clouds coming between the earth and the sun
dɔŋe,enmity
dɔŋe,to be lean
dɔɔ,   to squat 
dɔɔ,  to bow  as in greeting
dɔɔ,  to excrete
dɔɔ,  to perch
dɔɔ,   man
dɔɔ, friend of the same sex
dɔ̃ɔ,   to disturb
dɔ̃ɔ,to sprain e.g. a leg
dɔɔbile,boy
Dɔɔdãa,name of a male born on the day local beer has been brewed in the house 
dɔɔkɔɔteɛlɔɔ,a squatting kick game
dɔɔ-la-pɔge,a man with feminine features
dɔɔlee,boy
dɔɔloŋ,   bravery
dɔɔne,   noise
dɔɔne,  movement
dɔɔne,  disturbance
dɔɔnyaŋaa,old man
dɔɔ-ɔre,infertile man
dɔɔta,   doctor 
dɔɔta,  hospital
dɔɔtayiri,hospital
dɔre,to advise
dɔre,fruits of doɔ
dɔrekabakoma,one who incites hatred
dɔsaŋkpare,peels of dawadawa fruits
dɔsempeɛlɛ,immature dawadawa fruits
dɔzɔŋe,daw-daw flour  pulp from daw-daw fruit
dɔzunni,daw-daw seeds
du,   to rub against 
du,  to iron  clothes 
dudugiri,a box made of grass
dugi,swim
dugi,to be eaten up to powder e.g. wood infected with bugs
dukuree,large sores caused by scabies
duli,   to work strenuously on a difficult task
duli,  to eat a large amount  
duluŋ,a type of large bird
dunduli,   caterpillar 
dunduli,  worm 
dunduli,  maggot
dundulivarekpɛnyoɔre,small green caterpillar that springs from place to place
dundulkyoo,cocoon
dundulvarkpɛnyoɔre,a type of small green caterpillar that moves by loops
dunduŋkolo,fried yam wedges
duni,knee
dunselee,kneecap
duŋi,type of weevil  found in wood 
duo,wild pig
duo,   to be seated all over the place in great numbers  patients at consulting room
duo,  to prepare malt for brewing local beer
duogo,giant
Duoŋ,town in the Upper West Region noted for treatment of bone fractures
duoraa,   open space for a gathering  
duoraa,  resting place for sheherds and their animals
duori,   to urinate 
duori,   to ejaculate
duori,   to set high up  child on shoulders  
duori,   to raise yam mounds 
duori,   to set a bow ready for use
duori,to set out in heaps e.g. tomatoes for sale
duoro,news
duor-tere,annoucement
duor-terɛ,one who gives information
duorunlaa,chamberpot
duorunwoɔ,bladder
duorunzẽẽ,bilharziasis
duoruŋ,urine
duoruŋkɔnsɔgerɔ,the condition of having difficulty passing urine
duulaa,   row  
duulaa,  line  
duulaa, poetry 
e,   to act
eele,   horn
eele,  antenna
eɛ,   to pinch 
eɛ,  to hint
eɛ,   to mark the foundation of a building
eɛ,  to cut a very small piece
eɛ eŋe,to flee
eɛne,hippopotamus
eɛne,claw
eɛne,a type of deer
eɛne,tiny
eɛne,to claw e.g. a cat climbing a wall
ẽɛo,type of deer
eɛraa,hook
eɛre,to wipe away e.g. dirt
eɛre,to claw at
eɛre-miri,fishing line
e-la,to tease
e-laara,one who teases
embaare,laziness
emii,act of desperation  impatience
emmaa,the condition of being in a good state
emmaaroŋ,health
emmii,a body that is in a painful condition
emmiiruŋ,a body in pain  stunted body
Emɔ,the name of a clan in Southern Dagao  appellation of this group
empoɔne,ocean
endaa,frame  of a person’s body 
endaa waaloŋ,skin colour
enfuomaala,one who makes pictures
enfuomaale,the act of making a picture  draw 
enfuoni,image
enfuori,the act of bewitching  the act of casting a spell
enne,act of respect
ennoɔ,happiness
ensɔgelaa,black skin
entaa,mutual respect
entage,muscular body
entole,fever  rise in body temperature
entoloŋ,fever
entukpalaa,extreme laziness
entuo,laziness
enzeɛ,light skin  leprosy
eŋ,as
eŋe,to put in  to put on  shoes
eŋene,main hole leading to a rodent’s living room in its burrow
eŋene,respect  regard for  honour
eŋɛ,what  who
eŋɛ,body  surface of 
eŋgane,skin  human body 
Eŋgelɛ,England
Eŋgilisi,English
eŋkɔbɔ,skeleton
eŋkpaŋkpoli,naked body
eŋkpoli,naked body
eŋkpoŋkpoli,naked body
eŋ noɔre,to promise
eŋ poɔ,to impregnate
eŋyoɔre,that which does not produce excitement
eŋ zẽɛ,to punish severely
eroŋ,conduct
eroŋ,verb
Etore,Easter
etɔ,the name of a clan in Southern Dagao
ewa,   a kinship group
ewa,  appellation of this group
ewɛ,the name of a clan in Southern Dagao
ɛbaa,crocodile
ɛlemɛ,shellfish
ɛl-ɛloo,it serves you well
ɛnne,   to suckle
ɛre,to crawl  to slide along on the buttocks
ɛre,to grind
ɛre,to fill a hole or space tightly to disallow access
ɛre-eŋ,   exaggeration 
ɛre-eŋ,  metaphor  lit. 
ɛregbɛrɛ,fleshy and fatty  meat 
fa,   to be bad   Ka fooŋ ba kyɛlle a bie ŋa na fa la
fa,   to rob
faa,   bad   Saa naŋ piili miibu ŋaa
faa,   to take by force
fãa,slowly  of a fall    
O kyeelɛɛ la gɛrɛ fãa na te le, She is falling slowly.
fãa,   to be unable   
O gaa la o sori na fãa, She has failed to go on her trip.
fãa,  to have no choice   
A pɔmpeŋ sãaɛ la ka noba fãa kyɛ sigi baa te ɔŋ kõɔ, The water tap is spoilt
fãafãa,whistle used in times of war or danger
faa le,to drop
Faaloŋ,the name of a village located near Lawra
faaloŋ,the condition of being bad or wicked
faara,priest
faara,saviour
faara,one who robs
faare,to intercede
faare,to stroke
faare,a boys’ game of snatching others’ arrows
faaregyɔ,to not utter a word  to be quiet
fabo,not responding to anything  speechless
fabo,tasteless
faee,empty-looking
fafara,suddenly
fage,plenty  and jumbled up 
fage,to peck
fagere,sharp  of a bite 
fagoo,full of rubbish
falala,long
falanfuuri,lungs
fale,to slap
faa,   to take by force
fãa,slowly  of a fall    
O kyeelɛɛ la gɛrɛ fãa na te le., She is falling slowly.
fãa,   to be unable   
O gaa la o sori na fãa, S he has failed to go on her trip. 
fãa, to have no choice   
A pɔmpeŋ sãaɛ la ka noba fãa kyɛ sigi baa te ɔŋ kõɔ, The water tap is spoilt
fãafãa,whistle used in times of war or danger
faa le,to drop
Faaloŋ,the name of a village located near Lawra
faaloŋ,the condition of being bad or wicked
faara,priest
faara,saviour
faara,one who robs
faare,to intercede
faare,to stroke
faare,a boys’ game of snatching others’ arrows
faaregyɔ,to not utter a word  to be quiet
fabo,not responding to anything  speechless
fabo,tasteless
faee,empty-looking
fafara,suddenly
fage,plenty  and jumbled up 
fage,to peck
fagere,sharp  of a bite 
fagoo,full of rubbish
falala,long
falanfuuri,lungs
fale,to slap
fale pareŋ,to spank  a child 
fambataabo,weakness
fananna,very clean
fane,to become rough  skin 
fane,rough  skin 
fanfane,soap
fanne,to sell one’s wares at a low price
fanne,to think
faŋa,strength  be strong  physically 
faŋa,young  used for calves
Farafara,   a person of the Gurunɛ ethnicity 
Farafara,  the language spoken by this group
farata,tall and straight
fare,   to foam  yeast in alcohol  discharge from eyes  
fare,  to boil  porridge 
fare,to build mounds around crops  farming corn 
fare,to pluck leaves in large quantities
fare,to make bare   to shave hair off completely 
fare,completely   A bibiiri zaa zo kulee la fare. All the children have gone without any left behind.
fare bini,   shit plenty 
fare bini,  say disgusting things
fare yɛlɛ,   to talk a great deal
fare yɛlɛ,  to complain
fasane, with ŋmɛ’  thought
febo,piercingly  the manner a sharp object enters another suddenly and firmly  a thorn in the body 
fee,completely  of drinking 
fẽe,   for a short time  in a short time
fẽe,  few  
fẽe,  small
feelaa,young and tender
feele,to make tight
feelee,chance
feeloo,narrow
feere,   to blow one’s nose
feere,  to hold
feerɔɔ,suddenly disappearing into an opening e.g. into a hole or room
feɛ,   to whip
feɛ,  to unshell e.g. rice or corn
fẽɛ,to be grown to some extent  to not be small
feɛle,   to pass closely by another e.g. a blow missing the target narrowly
feɛle, to pass gas silently
feɛle,to sneak out
fefeɛ,crevice
feferɛ,the least movement   Ka fooŋ ba maale fo kyi ŋa biŋi
fege,to cut out a tiny opening   A daa kpeɛŋaa
fegele,to be tight
fegere,sob
fegɛfegɛ,flashing intermittently e.g. lightning
fele,sore
felɛfelɛ,flash brightly
felɛfelɛ,glittery and flashing with light
felkõɔ,pus
felmaara,sores over the body thought to be incurable e.g. leprosy
felmaaroŋ,sore caused by leprosy or yaws
felɔɔ,of a sparkle
felpɛmpɛle,scar
felzeɛ,sore without pus
femm,getting away fast and far e.g. bullet
fenlege,laboured e.g. breathing
fenne,to begin to ripen  first few fruits 
fenne,to cut a very small piece
fentelɛ,lamp
fentellaa,local lamp
fentere,ring e.g. that is put on the finger
fentere,the act of standing at attention
fere,   to force
fere,regret  bitter experience
feree,the fruit of the wɔŋkampɔre plant
fereko,a type of bawaa dance performed by moving to and fro to the sides  left and right 
feroo,force
feroo,a type of dance
feroo toma,duty
fɛɛ,   happening in some manner e.g. completely
fɛɛ,  becoming airless instantly  tyre 
fɛɛ,deflating completely of quiet sound of pent up air or gas escaping
fɛge,   to indent  
fɛge,  to become one-eyed
fɛge,one-eyed person
fɛge,fall lightly
fɛgelɛgɛ,out of energy
fɛgetɛgɛ,completely out of air or energy
fɛlefɛle,tasteless
fɛlɛlɛ,utterly
fɛmm,lying flat e.g. vegetation or hair
fɛraa,narrow
fɛre,to be sqeezed up in between
fɛre,sound of drop of something small and light
fɛre-taa-kyɛ-moorɔ,one who has something but lies to others that one does not have it
fieli,slim and flat  nape 
fieli,to fail
fieluu,the act of failing
fifire,scarcely outside than something happens
figi,to throw out one’s hand to signal to stop
figiraa,fan
figiri,   to fan 
figiri,  to flap one’s wings
fii,manner of movement e.g. of a heavy object in the air
filoo,at glance   
finni,to cheat
firimeŋ,appearing neatly cut e.g. growth
fo,you  second-person singular weak form    
Fo na gaa la bee fo koŋ gaa?, Will you go or not?
fo, your  second-person singular possessive    
Fo yuori la boŋ?, What is your name?
foge,   to unshell e.g. paddy rice 
foge,  to poke
fogele,to be tight e.g. passengers in a crowded bus  
fogeloo,narrow
ord,Definition
fogi,to pound e.g. clay for modeling
fogi,to pull out from a tight hold   
fogili,to be seedless e.g. bean pod   
Ka saaŋ ba mi a bɛŋɛ na fogili la., If it does not rain the beans will not form seed.
fogiluu,seedless
fole,immature
foli,not hidden
folinfoori,a type of broadleaf grass used as pig feed
Folo,Fulani  an African ethnic group 
fomeŋɛ,yourself
fomfom,type of small cake-like food prepared from flour
fomfom,deepset  eyes 
fonaano,sleeveless singlet
fonne,   to sniff  dog on a trail 
fonne, to snuff
fonɔfonɔ,soft
foŋ,then you  used in conditional forms    
Ka saaŋ wa mi foŋ bore a kamaana, If it rains
foo,looking open and endless e.g. a deep hole
fõo,dry and light e.g. grass
fõo,you  second person singular strong form    
Fõo naane ka ba boɔrɔ., They are not looking for you.
foone,   to shrink e.g. a fruit
foone,  to deflate e.g. a tyre
foone,shrinked
fooŋ,you  emphatic   
Fo yɔɔpɔge balɛɛ la fooŋ na gaa te ɛre a zɔŋe?, Your sister is tired
foore,to hiss e.g. a snake
foore,to become bloated
foore,to rage
foori,   empty
foori,  empty-handed  
O bɛlle ma la ne nufoori., She deceived me with an empty hand.
foɔ,to fill holes in a wall with mortar
foɔ,to pile up a heap of guinea corn heads
foɔ,to place branches or thorns around an object for protection against animals
foɔ,to whip
fõɔ,to make lighter   
E ka a tuobu fõɔ fẽe ka lɛ naane N koŋ tõɔ a tuo., Make the load a little light otherwise I cannot carry it.
foɔlaa,passageway
foɔle,to draw one’s appendages against the body  to stand at attention
foɔle,to sneak
fõɔo,light  weight 
foɔre,to smear with thick liquid
fori,to loosen
fori,since   Fo naŋ fori yi
fori,   to force out from its cover or shell  boiled bambara beans
fori,  to treat hide by removing the fur  bleaching of the skin
fori,  to develop to an appreciable level  to mature   
A pɔgelee ŋa naŋ ba fori kyɛ o pɔloo zuoe la., This girl is not yet worth a woman but she is quite proud.
forɔforɔ,rough
forre,   to scrape leaves off a branch
forre  to run very fast  through vegetation ,
foto,photograph
fɔbo,very wet
fɔgele,   to press together 
fɔgele,to strangle
fɔlle,to smear with
fɔnne,to grab
fɔŋe,to become lean
fɔrɔ,yaws
fu,rumour
fu,to blow  wind 
fu,   to parboil
fugi,to threaten
fugi,to bluff
fugoŋ,falling suddenly into e.g. a hole   
O faa le a bogiŋ lɛ fogoŋ., She fell into the hole at once.
fulee,eat gulpingly e.g. of a hungry person
fuli,exit suddenly
fulo,entering neatly
fulofulo,roundish e.g. of aperture like a hole
fulonfugiri,lung 
fululu,appearing round and deep e.g. a hole
fumini,needle 
fuoli,   to whistle
fuoli,  to squeak  of a wheel 
fuomii,   gluttony
fuomiŋ,see
fuori,to bewitch
fuori,to sip
furi,to block an opening with an object
furi,to open one’s eyes widely e.g. when surprised
furi,to stoop
furi,to cave in
furi,Islamic marriage rite 
furi kaa,to stare
fuu,the cast-off skin of a snake
fuu,to frighten
fuu,to speed
fuu,a game where bare arrows are used 
fuuli,to cheat  to make a fool of
fuuli,to constrict
fuuri,   foam
fuuri,to cool off
fuuri,treachery
fuurofuuro,bits and pieces  of information 
ga,to eat TZ without soup
ga,to run wildly or in a frenzy e.g. cow stung by tsetse fly
gaa,ebony  tree or fruit  
gaa,to leave
gaa,to scoop pulp e.g. soil
gãa,outstretched and long  
gaabu,onion 
gaafara,excuse
Gaana,Ghana 
gaale,   to place flat on the ground
Gaana,Ghana 
gaane,   to stride  to take strides of equal length with energy and confidence  
gaane,to wear by passing a strip between the buttocks
gaane,  triangular underwear 
gabaa,open and extensive
gabadayaa,straightaway
gabadii,a type of woolen cloth used to make suits
gabaŋgabaŋ,anyhow
gadaa,   ebony stick
gadaa, sign of extradition
gado,bed
gagaraa,   traitor 
gagaraa,  One who denies the truth and treads on falsehood
gakogili,dried berry of the ebony tree
galaa,fool
galbie,a great person
galbie,a child born after more than 9 months of pregnancy
gale,to speak in anger  to reproach
gale,to miss the regular time   
galegale,of quick fast steps  run 
galegale,dog
galema,strange
galeŋgaa,crow
galeŋgoɔnaa,heron
galiŋkoori,millipede
galle,to pass
galle,manoeuvre with skill and expertise
Galyuoni,name traditionally given to a child born after 9 months of pregnancy
gambanna,one who is literate
gammiri,woven twine string worn by women around the waist
gammisɔgelaa,woven leather waist string
gammizoolɔ,waist strings for adolescent girl
gampɛle,   sheet of paper 
gampɛle,  page of a book
gamporrizie,post office
ganaa,   strip of leather 
ganaa,  twine for chief mourners of a deceased person
ganaaganaa,small and stretched like a string
ganaaganaa,large and stretched
gandaa,   hero
gandaa,placenta
gane,   book 
gane, hide
gangyinni,the act of doing things in excess e.g. eating
gangyinnuŋ,the act of doing things in excess
ganlaa,a type of dance
ganlɔgɔ,small leather bag worn on the shoulder
gansɛgerɛ,writer
gansɔraa,a book for reading
gantoɔle,mail
gaŋa,An enclosure for livestock e.g. cattle
gaŋe,mad or insane  dogs 
gaŋe,to lie down 
gaŋe,  to sleep
gaŋe,to step over  to overtake  to be more than
gaŋene,next one
gaŋene,that which is too much
gaŋgaa,drum  general 
gaŋgaanaa,reed 
gaŋgaanaa, vine
gaŋgadaa,small drum with a quieter sound
gaŋgadalee,drumstick
gaŋgakpoŋ,bass drum
gaŋgalee,small drum  alto drum
gaŋganyaŋaa,drum with a deep
gaŋkanna,reader
gaŋkoŋi,funeral string strip given without any accompanying funeral donation
gaŋkoŋi,dry and crumpled animal hide
gaŋkuoŋaa,dried strip of leather
gaŋŋmaara,writer
gara,tapeworm
gara,hobble
garaa,small and pointed
garaa,ridge
gare,to stumble
gare,to place across
gare,go bad
garegyerɛ,a shrub with milky sap
Garegyerɛbaa,One of the main district headquarters of the Dagaare speaking area whose dialect is often referred to as the ‘central dialect’
garepegele,to crisscross
garewaa,four-gallon tin
garoŋ,sour-tasting substance
garre,to deny
gasalaa,gaping
gegili,be half-closed
geli,to lift over something heavy lying flat on the ground
geli,to burn badly  food 
geli,to be mad
gelime,insanity
gemee,mad
genegene,tinted  colour 
geŋgeŋ,firmly fixed
geŋi,to stretch out to reach e.g. to look over a wall
geŋi,to be mad
geregere,moderately hard e.g. half-cooked yam
gɛbɛɛ,fool
gieri,to belch
go,to stoop
go,watch over
gobaa,shame
gogo,clock    
gogo,hour
gogobiri,bull with a humped back 
gogoo,standing out with long appendages e.g. pointing
gogoɔ,sawfish
golebɛlɛ,lethargic and unsteady  very sick person 
goligoli,to scribble
gollaa,a game in which players hop on one leg
golle,to mix up any which way  clothes 
golli,to hop on one leg
goloŋgoloŋ,long and twisted
golɔgolɔ,soft and wavy  hair 
golɔnsomm,roundish and big
golɔnsomm,roundish and small
gombɔle,kapok fruit
gomɔgomɔ,not straightforward
gondoŋ,skirt
gone,structural flaw
gonnaabo,plant louse
gonni,cotton
gonseɛ,fall  season of intermittent wind
goŋo,cotton tree
goŋmane,one hundred kola nuts
goole,to mix
goone,to walk majestically with an up-and-down body movement
goɔ,thorn
goɔ,to bend at the trunk
goɔ,to prevent from progressing  to cause to return or refrain from something
goɔ,to bite  snake 
gõɔ,kiln  place for baking clay items to make them hard 
gõɔ,  arena
gõɔo,sleep
goɔraa,a type of small tree with medicinal properties
goɔre,to walk or run half stooping
gora,hunchback 
gora, disease of the back
goraa,curved
gore,to be abundant
gore, to be overburdened with weight
gore,to pluck feathers or fur
gorgore,to ruffle
gori,dowry
gori,to bend an object  into a sharp curve 
gɔbaa,skillful person  one full of dexterity 
gɔbaa,artist  music
gɔbenɛ,governor
gɔbenɛnte,government
gɔfuuraa,a type of tree with medicinal properties
gɔge,to nod
gɔgɔ,a type of tree whose bark is used in tanning 
gɔgɔ, to type of black bird with a long tail
gɔgɔ,to bend halfway  to stoop
gɔllaa,a type of small
gɔlle,   to go round
gɔlɔnteebo,chameleon
gɔmberaa,state of sleeplessness
gɔmbulo,unique sound in poetry
gɔmɔ,noise
gɔnda,pawpaw
gɔnne,noise
gɔntɛre,to talk incessantly
gɔntɛre,to burst out
gɔnzuuro,sleepiness
gɔŋe,crooked
gɔŋe,to make crooked
gɔŋe,to make noise
gɔŋ-eŋ,to redirect or state to suit one’s purpose
gɔŋgɔlɔŋ,long and winding
gɔŋgɔŋe,to walk wearily and unsteadily  to trudge
gɔŋgbire,one who is asleep
gɔŋɔ,type of guinea corn
gɔɔ,left hand
gɔɔ,left-handed
gɔɔ,to go round and round
gɔɔrombiri,literary device  lit. 
gɔpelaa,a type of tree with medicinal properties
gɔre,  to bend 
gɔre,  to mould a hoe into a curved shape
gɔre,scythe
gɔsɔgelaa,a type of thorn tree
gɔteɛ,a tree with thorns
gɔzeɛ,a type of tree with medicinal properties
gu,   to watch out for 
gu,  to look after  3  to protect
gufu,interpreter
Gumo,a town in the Sisaalaland noted for soothsaying and divining
gunni,to stalk  hunter tracking game 
gunni,to pick tiny leaves from plants
guo,heavy club with knobbed end
guoli,to coil  rope 
guoli,   to bring up  child 
guoli, to raise  animals 
guoli,pot rest  pad on which pots are placed
guori,kola nuts
guri,   to throw one’s body onto another  wrestling
guruŋ,mushroom
guu,to be unable
guu,blunt
guu,to be blunt
guuli,to delay someone
guuli,to be not yet healed of a sprain
guuli,to delay someone
guuli,knot
gba,   to gather substantive debris 
gba, to beat someone completely  gambling 
gba,to close tightly
gbaa,viper
gbaalaa,large
gbaale,large earthenware basin
gbaale,to gather extensively
gbaale,to follow in large numbers  typically used with tu 
gbaama,weak appendages
gbaane,lean
gbaga,animal cage
gbage,to face
gbagelaŋ,large and strong e.g. cob of corn
gbagele,bone with meat
gbala,a type of women’s hairstyle
gbalaa,pole for plucking
gbale,not for nothing
gbale,not wearing anything around the waist
gbale,blunt
gbale,to make blunt
gbambelɛ,albino
gbambiri,an object with two distinct sides  cowrie  thrown in gambling to decide the winner
gbambiri,a type of musical instrument
gbammo,comb  of a rooster  a variety of maize that usually has big cobs and pure white kernels
gbandige,area of jurisdiction
gbandiruŋ,inheritance
gbanfolɔ,a dish made from mashed fresh corn
gbanna,small farm near the house
gbannaa,crop field
gbantieloo,the act of shooting an arrow as high as one can.  
gbantori,ulcer
gbanzeɛ,very lightskinned person
gbaŋe,gambling
gbaŋe,albino
gbaŋe,to shoot an arrow as far as one can
gbaŋgbaa,slave
gbaŋgbaaloŋ,slavery
gbaŋgbakyeraa,stone axe
gbaŋgbalaa,a clearing
gbaŋgbaŋ,midday
gbaŋgbaŋ,wide
gbaŋgbele,raw and hard  fruit 
gbaŋkeroo,a type of wild plant with edible fruit
gbara,a deaf or mute person
gbare,to struggle in agony e.g. dying   Lɔɔre ŋmɛ la naabo ka o le a sori zu deɛ gbara.
gbare,to tie legs together firmly   Ba naneŋ nyɔge la a naaweɛmɛ na
gbare,to shut off from hearing
gbarema,small child
gbateele,a kind of grass which is heated and smashed to explode
gbatɛre,small
gbe,to grind coarsely 
gbe, to knaw at something hard  unripe fruit 
gbẽɛ,to cut a bit tiny
Gbeɛdomoo,a member of the Gbeɛdoma clan
Gbeɛdomɔ,land area of the clan members  Gbeɛdomɛɛ 
gbeɛle,a type of fetish manifested in a stone  
gbeɛle,a stone believed to have supernatural power and treated as a god
gbeɛle,to eye with suspicion
gbeɛle kuuri,round
gbegi,to pile up e.g. firewood
gbegili,hard and rigid
gbegili,to become dry and hard
gbelaa,the bone of the forehead
gbelaa,protruding
gbele,a type of small fox with bushy fur
gbele,to work very hard
gbeleŋgbeleŋ,flat metal musical instrument  a cymbal
gbelime,bell
gbelime,hour
gbelli,to turn the head away abruptly
gbeŋgbegri,   river bank 
gbeŋgbegri,  riverbed  dry 
gbeŋgbelaa,ground where millet is threshed and winnowed out
gbeŋgbeŋ,firmly fixed
gbeŋini,lion
gbeŋkeroo,a shrub with brown hard fruits that are edible. Also the fruit of such a tree
gberi,of a twine snapping sound
gberi,stopping suddenly
gbɛbaŋa,ankle bangle
gbɛbi-eɛne,   toenail
gbɛbi-eɛne,  claw
gbɛbinyoɔre,tip of the toe
gbɛbiri,toe
gbɛbogi,   footprint 
gbɛbogi, spot
gbɛ̃ɛ,dull
gbɛɛ yaga,often
gbɛfaa,ill luck
gbɛgere,to be miserly
gbɛgere,to be loose
gbɛgbɛ,wide
gbɛkpara,doublelegged
gbɛkpeɛŋaa,fleetfooted
gbɛkpoŋi,thigh
gbɛle,a long
gbɛle,to wriggle one’s torso  like in dancing  
gbɛle, way of begging where one wriggles one’s wrist
gbɛlee,foot
gbɛloŋkoraa,the region at the back of the knee joint
gbɛlɔlɔraa,calf  human body 
gbɛneɛraa,footprint
gbɛnne,to pluck  leaves 
gbɛnne,to chip the rim or edge of something
gbɛre,   leg 
gbɛre,  foot
gbɛre,person with a physical disability that prevents them from walking
gbɛre,mane
gbɛre,to be unable to walk due to a physical disability
gbɛregbɛre,crawl
gbɛrɛ,sponge
gbɛroo,weak and dejected  paralysis
gbɛsampane,top of foot
gbɛsugili,ankle
gbɛtanlori,half-bent leg on the other
gbɛtɛre,small pond
gbɛtoloŋ,the condition of being fast-footed  quickness  
gbɛtoloŋ,intelligence
gbɛtooraa,sock
gbɛvelaa,good luck
gbɛyeni,one-legged thing
gbi,to kneel
gbi,to break down a mud or earth-made roof
gbi,to harvest yams to make room for seed yams to grow
gbie,forehead
gbiele,hands and arms   N ba taa gbiele derɛ biiri.
gbieli,elbow
gbieni,to crawl in pain
gbigiri,to ruminate
gbigiri,to shake to test firmness e.g. a stem
gbili,silent
gbini,bundle
gbiŋ-gbiŋ,manner of running that is uninterrupted
gbiŋi,to cause to tremble or shake
gbiŋi,to hypnotise  to put into utter shock such that the person or thing cannot react
gbireŋgbireŋ,solid and firm
gbiri,to sleep 
gbiri, to coagulate
gbo,heart
gbo,a loud sound
gbogili,   to pack many objects on top of one another 
gbogili, to stand up against each other  quarrel 
gbogiri,   to gnaw flesh from a bone 
gbogiri,  to lick a container clean e.g. a palatable soup pot
gbogbo,gluttonous
gbole,to look up towards the sky   A naŋkpaana gbole kaa la a nuulee naŋ dɔɔ a teɛ zu.
gboli,bare-headed  carrying a load on the head without a pad   without attachment
gboli,leather string worn around the waist
gboli,to search earnestly  to rummage
gboligboli,sound of a loud echoing and persistent call
gbolli,to harass  to pursue something or someone eagerly
gbomo,lumps of matter used by a rodent to block its hole against intruders
gbontori,ulcer
gboŋe,to put pressure on  demanding action 
gboŋgboli,big rodent
gboŋgboŋ,all of
gboŋgboŋ,bucket  metal container
gboŋgbopelaa,jackal
gboŋgbori,hyena
gboŋi,to press against between two things. finger between two objects 
gboŋi,to pile up  to pack together 
gboŋi, to block an entrance  of a rodent’s hole 
gbore,   to hold water in the mouth  
gbore,  to conceal a hole  of a rodent 
gboregbore,to gargle
gbori,to move suddenly and strongly
gbori,ship
gbori,door flap
gbori,trough
